id,date,name,type,description,elapsed_time,distance,commute,gear,filename
1812379168,2018-08-30 21:13:57,Afternoon Run,Run,,2092,8049.4,false,,activities/1943784085.fit.gz
1812379173,2018-08-31 14:12:43,Morning Run,Run,,4403,16137.9,false,,activities/1943784079.fit.gz
1812405561,2018-08-29 15:06:33,Morning Run,Run,,3430,14493.4,false,,activities/1943784072.fit.gz
1812405587,2018-08-27 21:44:49,Afternoon Run,Run,,1825,6445.2,false,,activities/1943784071.fit.gz
1812405591,2018-08-29 20:59:25,Afternoon Run,Run,,1314,4839.6,false,,activities/1943784074.fit.gz
1812405686,2018-08-30 14:30:35,Morning Run,Run,,4642,17715.1,false,,activities/1943784078.fit.gz
1812405693,2018-08-28 21:30:11,Afternoon Run,Run,,1687,6449.5,false,,activities/1943784083.fit.gz
1812405713,2018-08-26 21:41:52,Afternoon Run,Run,,2937,11274.9,false,,activities/1943784075.fit.gz
1812405735,2018-08-27 14:23:17,Morning Run,Run,,5269,19319.3,false,,activities/1943784084.fit.gz
1812405774,2018-08-28 13:20:06,Morning Run,Run,,5156,17706.6,false,,activities/1943784081.fit.gz
1824081928,2018-09-04 20:35:47,Afternoon Run,Run,,1791,6606.1,false,,activities/1955812116.fit.gz
1824082117,2018-09-05 13:35:43,Morning Run,Run,,1226,4502.1,false,,activities/1955812311.fit.gz
1824082475,2018-09-05 14:09:04,Morning Run,Run,,3142,13488.5,false,,activities/1955812711.fit.gz
1824082591,2018-09-05 15:09:51,Morning Run,Run,,883,3165.1,false,,activities/1955812820.fit.gz
1824082742,2018-09-05 20:41:40,Afternoon Run,Run,,1463,5312.8,false,,activities/1955812968.fit.gz
1824090948,2018-09-03 13:36:08,Morning Run,Run,,5000,19318.6,false,,activities/1955811308.fit.gz
1824091169,2018-09-03 20:35:54,Afternoon Run,Run,,2163,8057.4,false,,activities/1955811568.fit.gz
1824091336,2018-09-04 13:37:41,Morning Run,Run,,4526,16901.5,false,,activities/1955811945.fit.gz
1824420298,2018-09-06 21:03:57,Afternoon Run,Run,,5109,17887.9,false,,activities/1956155161.fit.gz
1826433758,2018-09-07 20:34:46,Afternoon Run,Run,,3487,11790.7,false,,activities/1958230751.fit.gz
1827566114,2018-09-08 14:11:48,Morning Run,Run,,1247,4668.5,false,,activities/1959399353.fit.gz
1827744782,2018-09-08 15:01:20,Morning Run,Run,,970,5052.8,false,,activities/1959582035.fit.gz
1827847652,2018-09-08 15:41:15,Morning Run,Run,,1957,7091.3,false,,activities/1959688762.fit.gz
1831395539,2018-09-09 20:33:56,Afternoon Run,Run,,4426,16098.4,false,,activities/1963382064.fit.gz
1833400211,2018-09-10 20:38:19,Afternoon Run,Run,,1328,4837.3,false,,activities/1965443026.fit.gz
1833400474,2018-09-10 21:11:05,The 3K Sandwich,Run,Felt really good today.  Lot better than last week's workout.  Very pleased with the even pacing throughout.  Great to have such a large group of boys to workout with.  Smooth cardio throughout and solid cadence.  Did have some lactic build-up in the legs the final two Ks.  ,2854,12745.3,false,,activities/1965443281.fit.gz
1833400552,2018-09-10 22:04:08,Afternoon Run,Run,,1011,3382.9,false,,activities/1965443405.fit.gz
1834646796,2018-09-11 15:15:45,Morning Shakeout,Run,Started off slower and gradually worked down.  Felt pretty good.  Already quite warm outside.  ,1384,5311.9,false,,activities/1966730280.fit.gz
1835507302,2018-09-11 20:37:48,Maple House,Run,Took it easier today.  Nice slow recovery pace.  4x80m strides after.  ,4580,16258.6,false,,activities/1967611895.fit.gz
1837804236,2018-09-12 20:36:28,WU,Run,Felt a little off...some acid reflux stuff.,1211,4518.9,false,,activities/1969967664.fit.gz
1837804638,2018-09-12 21:04:14,Mid-Week Workout,Run,"Felt pretty darn average today.  Mile was easy (5:12), but faster paces during the timed intervals made things a little tough.  Warmer weather didn't help, but honestly wasn't too bad.  Lactic acid hit a little on final 30 second bout.  ",2543,11307.3,false,,activities/1969968070.fit.gz
